Store,Dept,Date,Weekly Sales,IsHoliday,
1,1,2/5/2010,24924.5,FALSE,
1,1,2/12/2010,46039.49,TRUE,
1,1,2/19/2010,41595.55,FALSE,
1,1,2/26/2010,19403.54,FALSE,
1,1,3/5/2010,21827.9,FALSE,
1,1,3/12/2010,21043.39,FALSE,
1,1,3/19/2010,22136.64,FALSE,
1,1,3/26/2010,26229.21,FALSE,
1,1,4/2/2010,57258.43,FALSE,
1,1,4/9/2010,42960.91,FALSE,
1,1,4/16/2010,17596.96,FALSE,
1,1,4/23/2010,16145.35,FALSE,
1,1,4/30/2010,16555.11,FALSE,
1,1,5/7/2010,17413.94,FALSE,
1,1,5/14/2010,18926.74,FALSE,
1,1,5/21/2010,14773.04,FALSE,
1,1,5/28/2010,15580.43,FALSE,
1,1,6/4/2010,17558.09,FALSE,
1,1,6/11/2010,16637.62,FALSE,
1,1,6/18/2010,16216.27,FALSE,
1,1,6/25/2010,16328.72,FALSE,
1,1,7/2/2010,16333.14,FALSE,
1,1,7/9/2010,17688.76,FALSE,
1,1,7/16/2010,17150.84,FALSE,
1,1,7/23/2010,15360.45,FALSE,
1,1,7/30/2010,15381.82,FALSE,
1,1,8/6/2010,17508.41,FALSE,
1,1,8/13/2010,15536.4,FALSE,
1,1,8/20/2010,15740.13,FALSE,
1,1,8/27/2010,15793.87,FALSE,
1,1,9/3/2010,16241.78,FALSE,
1,1,9/10/2010,18194.74,TRUE,
1,1,9/17/2010,19354.23,FALSE,
1,1,9/24/2010,18122.52,FALSE,
1,1,10/1/2010,20094.19,FALSE,
1,1,10/8/2010,23388.03,FALSE,
1,1,10/15/2010,26978.34,FALSE,
1,1,10/22/2010,25543.04,FALSE,
1,1,10/29/2010,38640.93,FALSE,
1,1,11/5/2010,34238.88,FALSE,
1,1,11/12/2010,19549.39,FALSE,
1,1,11/19/2010,19552.84,FALSE,
1,1,11/26/2010,18820.29,TRUE,
1,1,12/3/2010,22517.56,FALSE,
1,1,12/10/2010,31497.65,FALSE,
1,1,12/17/2010,44912.86,FALSE,
1,1,12/24/2010,55931.23,FALSE,
1,1,12/31/2010,19124.58,TRUE,
1,1,1/7/2011,15984.24,FALSE,
1,1,1/14/2011,17359.7,FALSE,
1,1,1/21/2011,17341.47,FALSE,
1,1,1/28/2011,18461.18,FALSE,
1,1,2/4/2011,21665.76,FALSE,
1,1,2/11/2011,37887.17,TRUE,
1,1,2/18/2011,46845.87,FALSE,
1,1,2/25/2011,19363.83,FALSE,
1,1,3/4/2011,20327.61,FALSE,
1,1,3/11/2011,21280.4,FALSE,
1,1,3/18/2011,20334.23,FALSE,
1,1,3/25/2011,20881.1,FALSE,
1,1,4/1/2011,20398.09,FALSE,
1,1,4/8/2011,23873.79,FALSE,
1,1,4/15/2011,28762.37,FALSE,
1,1,4/22/2011,50510.31,FALSE,
1,1,4/29/2011,41512.39,FALSE,
1,1,5/6/2011,20138.19,FALSE,
1,1,5/13/2011,17235.15,FALSE,
1,1,5/20/2011,15136.78,FALSE,
1,1,5/27/2011,15741.6,FALSE,
1,1,6/3/2011,16434.15,FALSE,
1,1,6/10/2011,15883.52,FALSE,
1,1,6/17/2011,14978.09,FALSE,
1,1,6/24/2011,15682.81,FALSE,
1,1,7/1/2011,15363.5,FALSE,
1,1,7/8/2011,16148.87,FALSE,
1,1,7/15/2011,15654.85,FALSE,
1,1,7/22/2011,15766.6,FALSE,
1,1,7/29/2011,15922.41,FALSE,
1,1,8/5/2011,15295.55,FALSE,
1,1,8/12/2011,14539.79,FALSE,
1,1,8/19/2011,14689.24,FALSE,
1,1,8/26/2011,14537.37,FALSE,
1,1,9/2/2011,15277.27,FALSE,
1,1,9/9/2011,17746.68,TRUE,
1,1,9/16/2011,18535.48,FALSE,
1,1,9/23/2011,17859.3,FALSE,
1,1,9/30/2011,18337.68,FALSE,
1,1,10/7/2011,20797.58,FALSE,
1,1,10/14/2011,23077.55,FALSE,
1,1,10/21/2011,23351.8,FALSE,
1,1,10/28/2011,31579.9,FALSE,
1,1,11/4/2011,39886.06,FALSE,
1,1,11/11/2011,18689.54,FALSE,
1,1,11/18/2011,19050.66,FALSE,
1,1,11/25/2011,20911.25,TRUE,
1,1,12/2/2011,25293.49,FALSE,
1,1,12/9/2011,33305.92,FALSE,
1,1,12/16/2011,45773.03,FALSE,
1,1,12/23/2011,46788.75,FALSE,
1,1,12/30/2011,23350.88,TRUE,
1,1,1/6/2012,16567.69,FALSE,
1,1,1/13/2012,16894.4,FALSE,
1,1,1/20/2012,18365.1,FALSE,
1,1,1/27/2012,18378.16,FALSE,
1,1,2/3/2012,23510.49,FALSE,
1,1,2/10/2012,36988.49,TRUE,
1,1,2/17/2012,54060.1,FALSE,
1,1,2/24/2012,20124.22,FALSE,
1,1,3/2/2012,20113.03,FALSE,
1,1,3/9/2012,21140.07,FALSE,
1,1,3/16/2012,22366.88,FALSE,
1,1,3/23/2012,22107.7,FALSE,
1,1,3/30/2012,28952.86,FALSE,
1,1,4/6/2012,57592.12,FALSE,
1,1,4/13/2012,34684.21,FALSE,
1,1,4/20/2012,16976.19,FALSE,
1,1,4/27/2012,16347.6,FALSE,
1,1,5/4/2012,17147.44,FALSE,
1,1,5/11/2012,18164.2,FALSE,
1,1,5/18/2012,18517.79,FALSE,
1,1,5/25/2012,16963.55,FALSE,
1,1,6/1/2012,16065.49,FALSE,
1,1,6/8/2012,17666,FALSE,
1,1,6/15/2012,17558.82,FALSE,
1,1,6/22/2012,16633.41,FALSE,
1,1,6/29/2012,15722.82,FALSE,
1,1,7/6/2012,17823.37,FALSE,
1,1,7/13/2012,16566.18,FALSE,
1,1,7/20/2012,16348.06,FALSE,
1,1,7/27/2012,15731.18,FALSE,
1,1,8/3/2012,16628.31,FALSE,
