Survived,Name,Age,SibSp,Parch,Fare
0,"Braund, Mr. Owen Harris",22,1,0,7.25
1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38,1,0,71.2833
1,"Heikkinen, Miss. Laina",26,0,0,7.925
1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35,1,0,53.1
0,"Allen, Mr. William Henry",35,0,0,8.05
0,"Moran, Mr. James",,0,0,8.4583
0,"McCarthy, Mr. Timothy J",54,0,0,51.8625
0,"Palsson, Master. Gosta Leonard",2,3,1,21.075
1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27,0,2,11.1333
1,"Nasser, Mrs. Nicholas (Adele Achem)",14,1,0,30.0708
1,"Sandstrom, Miss. Marguerite Rut",4,1,1,16.7
1,"Bonnell, Miss. Elizabeth",58,0,0,26.55
0,"Saundercock, Mr. William Henry",20,0,0,8.05
0,"Andersson, Mr. Anders Johan",39,1,5,31.275
0,"Vestrom, Miss. Hulda Amanda Adolfina",14,0,0,7.8542
1,"Hewlett, Mrs. (Mary D Kingcome) ",55,0,0,16
0,"Rice, Master. Eugene",2,4,1,29.125
1,"Williams, Mr. Charles Eugene",,0,0,13
0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31,1,0,18
1,"Masselmani, Mrs. Fatima",,0,0,7.225
0,"Fynney, Mr. Joseph J",35,0,0,26
1,"Beesley, Mr. Lawrence",34,0,0,13
1,"McGowan, Miss. Anna ""Annie""",15,0,0,8.0292
1,"Sloper, Mr. William Thompson",28,0,0,35.5
0,"Palsson, Miss. Torborg Danira",8,3,1,21.075
1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38,1,5,31.3875
0,"Emir, Mr. Farred Chehab",,0,0,7.225
0,"Fortune, Mr. Charles Alexander",19,3,2,263
1,"O'Dwyer, Miss. Ellen ""Nellie""",,0,0,7.8792
0,"Todoroff, Mr. Lalio",,0,0,7.8958
0,"Uruchurtu, Don. Manuel E",40,0,0,27.7208
1,"Spencer, Mrs. William Augustus (Marie Eugenie)",,1,0,146.5208
1,"Glynn, Miss. Mary Agatha",,0,0,7.75
0,"Wheadon, Mr. Edward H",66,0,0,10.5
0,"Meyer, Mr. Edgar Joseph",28,1,0,82.1708
0,"Holverson, Mr. Alexander Oskar",42,1,0,52
1,"Mamee, Mr. Hanna",,0,0,7.2292
0,"Cann, Mr. Ernest Charles",21,0,0,8.05
