Survived,Name,Age,SibSp,Parch,Fare
FALSE,"Braund, Mr. Owen Harris",22,1,0,7.25
TRUE,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38,1,0,71.2833
TRUE,"Heikkinen, Miss. Laina",26,0,0,7.925
TRUE,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35,1,0,53.1
FALSE,"Allen, Mr. William Henry",35,0,0,8.05
FALSE,"Moran, Mr. James",,0,0,8.4583
FALSE,"McCarthy, Mr. Timothy J",54,0,0,51.8625
FALSE,"Palsson, Master. Gosta Leonard",2,3,1,21.075
TRUE,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27,0,2,11.1333
TRUE,"Nasser, Mrs. Nicholas (Adele Achem)",14,1,0,30.0708
TRUE,"Sandstrom, Miss. Marguerite Rut",4,1,1,16.7
TRUE,"Bonnell, Miss. Elizabeth",58,0,0,26.55
FALSE,"Saundercock, Mr. William Henry",20,0,0,8.05
FALSE,"Andersson, Mr. Anders Johan",39,1,5,31.275
FALSE,"Vestrom, Miss. Hulda Amanda Adolfina",14,0,0,7.8542
TRUE,"Hewlett, Mrs. (Mary D Kingcome) ",55,0,0,16
FALSE,"Rice, Master. Eugene",2,4,1,29.125
TRUE,"Williams, Mr. Charles Eugene",,0,0,13
FALSE,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31,1,0,18
TRUE,"Masselmani, Mrs. Fatima",,0,0,7.225
FALSE,"Fynney, Mr. Joseph J",35,0,0,26
TRUE,"Beesley, Mr. Lawrence",34,0,0,13
TRUE,"McGowan, Miss. Anna ""Annie""",15,0,0,8.0292
TRUE,"Sloper, Mr. William Thompson",28,0,0,35.5
FALSE,"Palsson, Miss. Torborg Danira",8,3,1,21.075
TRUE,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38,1,5,31.3875
FALSE,"Emir, Mr. Farred Chehab",,0,0,7.225
FALSE,"Fortune, Mr. Charles Alexander",19,3,2,263
TRUE,"O'Dwyer, Miss. Ellen ""Nellie""",,0,0,7.8792
FALSE,"Todoroff, Mr. Lalio",,0,0,7.8958
FALSE,"Uruchurtu, Don. Manuel E",40,0,0,27.7208
TRUE,"Spencer, Mrs. William Augustus (Marie Eugenie)",,1,0,146.5208
TRUE,"Glynn, Miss. Mary Agatha",,0,0,7.75
FALSE,"Wheadon, Mr. Edward H",66,0,0,10.5
FALSE,"Meyer, Mr. Edgar Joseph",28,1,0,82.1708
FALSE,"Holverson, Mr. Alexander Oskar",42,1,0,52
TRUE,"Mamee, Mr. Hanna",,0,0,7.2292
FALSE,"Cann, Mr. Ernest Charles",21,0,0,8.05
FALSE,"Vander Planke, Miss. Augusta Maria",18,2,0,18
TRUE,"Nicola-Yarred, Miss. Jamila",14,1,0,11.2417
FALSE,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40,1,0,9.475
FALSE,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27,1,0,21
FALSE,"Kraeff, Mr. Theodor",,0,0,7.8958
TRUE,"Laroche, Miss. Simonne Marie Anne Andree",3,1,2,41.5792
TRUE,"Devaney, Miss. Margaret Delia",19,0,0,7.8792
FALSE,"Rogers, Mr. William John",,0,0,8.05
FALSE,"Lennon, Mr. Denis",,1,0,15.5
TRUE,"O'Driscoll, Miss. Bridget",,0,0,7.75
FALSE,"Samaan, Mr. Youssef",,2,0,21.6792
FALSE,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18,1,0,17.8
FALSE,"Panula, Master. Juha Niilo",7,4,1,39.6875
FALSE,"Nosworthy, Mr. Richard Cater",21,0,0,7.8
TRUE,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49,1,0,76.7292
TRUE,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29,1,0,26
FALSE,"Ostby, Mr. Engelhart Cornelius",65,0,1,61.9792
TRUE,"Woolner, Mr. Hugh",,0,0,35.5
TRUE,"Rugg, Miss. Emily",21,0,0,10.5
FALSE,"Novel, Mr. Mansouer",28.5,0,0,7.2292
TRUE,"West, Miss. Constance Mirium",5,1,2,27.75
FALSE,"Goodwin, Master. William Frederick",11,5,2,46.9
FALSE,"Sirayanian, Mr. Orsen",22,0,0,7.2292
TRUE,"Icard, Miss. Amelie",38,0,0,80
FALSE,"Harris, Mr. Henry Birkhardt",45,1,0,83.475
FALSE,"Skoog, Master. Harald",4,3,2,27.9
FALSE,"Stewart, Mr. Albert A",,0,0,27.7208
TRUE,"Moubarek, Master. Gerios",,1,1,15.2458
TRUE,"Nye, Mrs. (Elizabeth Ramell)",29,0,0,10.5
FALSE,"Crease, Mr. Ernest James",19,0,0,8.1583
TRUE,"Andersson, Miss. Erna Alexandra",17,4,2,7.925
FALSE,"Kink, Mr. Vincenz",26,2,0,8.6625
FALSE,"Jenkin, Mr. Stephen Curnow",32,0,0,10.5
FALSE,"Goodwin, Miss. Lillian Amy",16,5,2,46.9
FALSE,"Hood, Mr. Ambrose Jr",21,0,0,73.5
FALSE,"Chronopoulos, Mr. Apostolos",26,1,0,14.4542
TRUE,"Bing, Mr. Lee",32,0,0,56.4958
FALSE,"Moen, Mr. Sigurd Hansen",25,0,0,7.65
FALSE,"Staneff, Mr. Ivan",,0,0,7.8958
FALSE,"Moutal, Mr. Rahamin Haim",,0,0,8.05
TRUE,"Caldwell, Master. Alden Gates",0.83,0,2,29
TRUE,"Dowdell, Miss. Elizabeth",30,0,0,12.475
FALSE,"Waelens, Mr. Achille",22,0,0,9
TRUE,"Sheerlinck, Mr. Jan Baptist",29,0,0,9.5
TRUE,"McDermott, Miss. Brigdet Delia",,0,0,7.7875
FALSE,"Carrau, Mr. Francisco M",28,0,0,47.1
TRUE,"Ilett, Miss. Bertha",17,0,0,10.5
TRUE,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33,3,0,15.85
FALSE,"Ford, Mr. William Neal",16,1,3,34.375
FALSE,"Slocovski, Mr. Selman Francis",,0,0,8.05
TRUE,"Fortune, Miss. Mabel Helen",23,3,2,263
FALSE,"Celotti, Mr. Francesco",24,0,0,8.05
FALSE,"Christmann, Mr. Emil",29,0,0,8.05
FALSE,"Andreasson, Mr. Paul Edvin",20,0,0,7.8542
FALSE,"Chaffee, Mr. Herbert Fuller",46,1,0,61.175
FALSE,"Dean, Mr. Bertram Frank",26,1,2,20.575
FALSE,"Coxon, Mr. Daniel",59,0,0,7.25
FALSE,"Shorney, Mr. Charles Joseph",,0,0,8.05
FALSE,"Goldschmidt, Mr. George B",71,0,0,34.6542
TRUE,"Greenfield, Mr. William Bertram",23,0,1,63.3583
TRUE,"Doling, Mrs. John T (Ada Julia Bone)",34,0,1,23
FALSE,"Kantor, Mr. Sinai",34,1,0,26
FALSE,"Petranec, Miss. Matilda",28,0,0,7.8958
FALSE,"Petroff, Mr. Pastcho (""Pentcho"")",,0,0,7.8958
FALSE,"White, Mr. Richard Frasar",21,0,1,77.2875
FALSE,"Johansson, Mr. Gustaf Joel",33,0,0,8.6542
FALSE,"Gustafsson, Mr. Anders Vilhelm",37,2,0,7.925
FALSE,"Mionoff, Mr. Stoytcho",28,0,0,7.8958
TRUE,"Salkjelsvik, Miss. Anna Kristine",21,0,0,7.65
TRUE,"Moss, Mr. Albert Johan",,0,0,7.775
FALSE,"Rekic, Mr. Tido",38,0,0,7.8958
TRUE,"Moran, Miss. Bertha",,1,0,24.15
FALSE,"Porter, Mr. Walter Chamberlain",47,0,0,52
FALSE,"Zabour, Miss. Hileni",14.5,1,0,14.4542
FALSE,"Barton, Mr. David John",22,0,0,8.05
FALSE,"Jussila, Miss. Katriina",20,1,0,9.825
FALSE,"Attalah, Miss. Malake",17,0,0,14.4583
FALSE,"Pekoniemi, Mr. Edvard",21,0,0,7.925
FALSE,"Connors, Mr. Patrick",70.5,0,0,7.75
FALSE,"Turpin, Mr. William John Robert",29,1,0,21
FALSE,"Baxter, Mr. Quigg Edmond",24,0,1,247.5208
FALSE,"Andersson, Miss. Ellis Anna Maria",2,4,2,31.275
FALSE,"Hickman, Mr. Stanley George",21,2,0,73.5
FALSE,"Moore, Mr. Leonard Charles",,0,0,8.05
FALSE,"Nasser, Mr. Nicholas",32.5,1,0,30.0708
TRUE,"Webber, Miss. Susan",32.5,0,0,13
FALSE,"White, Mr. Percival Wayland",54,0,1,77.2875
TRUE,"Nicola-Yarred, Master. Elias",12,1,0,11.2417
FALSE,"McMahon, Mr. Martin",,0,0,7.75
TRUE,"Madsen, Mr. Fridtjof Arne",24,0,0,7.1417
TRUE,"Peter, Miss. Anna",,1,1,22.3583
FALSE,"Ekstrom, Mr. Johan",45,0,0,6.975
FALSE,"Drazenoic, Mr. Jozef",33,0,0,7.8958
FALSE,"Coelho, Mr. Domingos Fernandeo",20,0,0,7.05
FALSE,"Robins, Mrs. Alexander A (Grace Charity Laury)",47,1,0,14.5
TRUE,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29,1,0,26
FALSE,"Sobey, Mr. Samuel James Hayden",25,0,0,13
FALSE,"Richard, Mr. Emile",23,0,0,15.0458
TRUE,"Newsom, Miss. Helen Monypeny",19,0,2,26.2833
FALSE,"Futrelle, Mr. Jacques Heath",37,1,0,53.1
FALSE,"Osen, Mr. Olaf Elon",16,0,0,9.2167
FALSE,"Giglio, Mr. Victor",24,0,0,79.2
FALSE,"Boulos, Mrs. Joseph (Sultana)",,0,2,15.2458
TRUE,"Nysten, Miss. Anna Sofia",22,0,0,7.75
TRUE,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24,1,0,15.85
FALSE,"Burke, Mr. Jeremiah",19,0,0,6.75
FALSE,"Andrew, Mr. Edgardo Samuel",18,0,0,11.5
FALSE,"Nicholls, Mr. Joseph Charles",19,1,1,36.75
TRUE,"Andersson, Mr. August Edvard (""Wennerstrom"")",27,0,0,7.7958
FALSE,"Ford, Miss. Robina Maggie ""Ruby""",9,2,2,34.375
FALSE,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,26
FALSE,"Byles, Rev. Thomas Roussel Davids",42,0,0,13
FALSE,"Bateman, Rev. Robert James",51,0,0,12.525
TRUE,"Pears, Mrs. Thomas (Edith Wearne)",22,1,0,66.6
FALSE,"Meo, Mr. Alfonzo",55.5,0,0,8.05
FALSE,"van Billiard, Mr. Austin Blyler",40.5,0,2,14.5
FALSE,"Olsen, Mr. Ole Martin",,0,0,7.3125
FALSE,"Williams, Mr. Charles Duane",51,0,1,61.3792
TRUE,"Gilnagh, Miss. Katherine ""Katie""",16,0,0,7.7333
FALSE,"Corn, Mr. Harry",30,0,0,8.05
FALSE,"Smiljanic, Mr. Mile",,0,0,8.6625
FALSE,"Sage, Master. Thomas Henry",,8,2,69.55
FALSE,"Cribb, Mr. John Hatfield",44,0,1,16.1
TRUE,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40,0,0,15.75
FALSE,"Bengtsson, Mr. John Viktor",26,0,0,7.775
FALSE,"Calic, Mr. Jovo",17,0,0,8.6625
FALSE,"Panula, Master. Eino Viljami",1,4,1,39.6875
TRUE,"Goldsmith, Master. Frank John William ""Frankie""",9,0,2,20.525
TRUE,"Chibnall, Mrs. (Edith Martha Bowerman)",,0,1,55
FALSE,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45,1,4,27.9
FALSE,"Baumann, Mr. John D",,0,0,25.925
FALSE,"Ling, Mr. Lee",28,0,0,56.4958
FALSE,"Van der hoef, Mr. Wyckoff",61,0,0,33.5
FALSE,"Rice, Master. Arthur",4,4,1,29.125
TRUE,"Johnson, Miss. Eleanor Ileen",1,1,1,11.1333
FALSE,"Sivola, Mr. Antti Wilhelm",21,0,0,7.925
FALSE,"Smith, Mr. James Clinch",56,0,0,30.6958
FALSE,"Klasen, Mr. Klas Albin",18,1,1,7.8542
FALSE,"Lefebre, Master. Henry Forbes",,3,1,25.4667
FALSE,"Isham, Miss. Ann Elizabeth",50,0,0,28.7125
FALSE,"Hale, Mr. Reginald",30,0,0,13
FALSE,"Leonard, Mr. Lionel",36,0,0,0
FALSE,"Sage, Miss. Constance Gladys",,8,2,69.55
FALSE,"Pernot, Mr. Rene",,0,0,15.05
FALSE,"Asplund, Master. Clarence Gustaf Hugo",9,4,2,31.3875
TRUE,"Becker, Master. Richard F",1,2,1,39
TRUE,"Kink-Heilmann, Miss. Luise Gretchen",4,0,2,22.025
FALSE,"Rood, Mr. Hugh Roscoe",,0,0,50
TRUE,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",,1,0,15.5
TRUE,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45,0,0,26.55
FALSE,"Bourke, Mr. John",40,1,1,15.5
FALSE,"Turcin, Mr. Stjepan",36,0,0,7.8958
TRUE,"Pinsky, Mrs. (Rosa)",32,0,0,13
FALSE,"Carbines, Mr. William",19,0,0,13
TRUE,"Andersen-Jensen, Miss. Carla Christine Nielsine",19,1,0,7.8542
TRUE,"Navratil, Master. Michel M",3,1,1,26
TRUE,"Brown, Mrs. James Joseph (Margaret Tobin)",44,0,0,27.7208
TRUE,"Lurette, Miss. Elise",58,0,0,146.5208
FALSE,"Mernagh, Mr. Robert",,0,0,7.75
FALSE,"Olsen, Mr. Karl Siegwart Andreas",42,0,1,8.4042
TRUE,"Madigan, Miss. Margaret ""Maggie""",,0,0,7.75
FALSE,"Yrois, Miss. Henriette (""Mrs Harbeck"")",24,0,0,13
FALSE,"Vande Walle, Mr. Nestor Cyriel",28,0,0,9.5
FALSE,"Sage, Mr. Frederick",,8,2,69.55
FALSE,"Johanson, Mr. Jakob Alfred",34,0,0,6.4958
FALSE,"Youseff, Mr. Gerious",45.5,0,0,7.225
TRUE,"Cohen, Mr. Gurshon ""Gus""",18,0,0,8.05
FALSE,"Strom, Miss. Telma Matilda",2,0,1,10.4625
FALSE,"Backstrom, Mr. Karl Alfred",32,1,0,15.85
TRUE,"Albimona, Mr. Nassef Cassem",26,0,0,18.7875
TRUE,"Carr, Miss. Helen ""Ellen""",16,0,0,7.75
TRUE,"Blank, Mr. Henry",40,0,0,31
FALSE,"Ali, Mr. Ahmed",24,0,0,7.05
TRUE,"Cameron, Miss. Clear Annie",35,0,0,21
FALSE,"Perkin, Mr. John Henry",22,0,0,7.25
FALSE,"Givard, Mr. Hans Kristensen",30,0,0,13
FALSE,"Kiernan, Mr. Philip",,1,0,7.75
TRUE,"Newell, Miss. Madeleine",31,1,0,113.275
TRUE,"Honkanen, Miss. Eliina",27,0,0,7.925
FALSE,"Jacobsohn, Mr. Sidney Samuel",42,1,0,27
TRUE,"Bazzani, Miss. Albina",32,0,0,76.2917
FALSE,"Harris, Mr. Walter",30,0,0,10.5
TRUE,"Sunderland, Mr. Victor Francis",16,0,0,8.05
FALSE,"Bracken, Mr. James H",27,0,0,13
FALSE,"Green, Mr. George Henry",51,0,0,8.05
FALSE,"Nenkoff, Mr. Christo",,0,0,7.8958
TRUE,"Hoyt, Mr. Frederick Maxfield",38,1,0,90
FALSE,"Berglund, Mr. Karl Ivar Sven",22,0,0,9.35
TRUE,"Mellors, Mr. William John",19,0,0,10.5
FALSE,"Lovell, Mr. John Hall (""Henry"")",20.5,0,0,7.25
FALSE,"Fahlstrom, Mr. Arne Jonas",18,0,0,13
FALSE,"Lefebre, Miss. Mathilde",,3,1,25.4667
TRUE,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35,1,0,83.475
FALSE,"Larsson, Mr. Bengt Edvin",29,0,0,7.775
FALSE,"Sjostedt, Mr. Ernst Adolf",59,0,0,13.5
TRUE,"Asplund, Miss. Lillian Gertrud",5,4,2,31.3875
FALSE,"Leyson, Mr. Robert William Norman",24,0,0,10.5
FALSE,"Harknett, Miss. Alice Phoebe",,0,0,7.55
FALSE,"Hold, Mr. Stephen",44,1,0,26
TRUE,"Collyer, Miss. Marjorie ""Lottie""",8,0,2,26.25
FALSE,"Pengelly, Mr. Frederick William",19,0,0,10.5
FALSE,"Hunt, Mr. George Henry",33,0,0,12.275
FALSE,"Zabour, Miss. Thamine",,1,0,14.4542
TRUE,"Murphy, Miss. Katherine ""Kate""",,1,0,15.5
FALSE,"Coleridge, Mr. Reginald Charles",29,0,0,10.5
FALSE,"Maenpaa, Mr. Matti Alexanteri",22,0,0,7.125
FALSE,"Attalah, Mr. Sleiman",30,0,0,7.225
FALSE,"Minahan, Dr. William Edward",44,2,0,90
FALSE,"Lindahl, Miss. Agda Thorilda Viktoria",25,0,0,7.775
TRUE,"Hamalainen, Mrs. William (Anna)",24,0,2,14.5
